time_s,gforce_x,gforce_y,gforce_z
3.044732805,0.4066,-0.0914,1.0596
3.05485269,0.3538,-0.0448,0.9108
3.064324882,0.3728,-0.0614,0.8849
3.07478392,0.4328,-0.0225,0.9416
3.087333574,0.3134,-0.0974,1.0397
3.094357074,0.419,-0.0305,1.0397
3.104507343,0.3542,0.0233,0.7712
3.11462542,0.4509,0.0555,0.9169
3.124788843,0.2899,-0.1064,0.9019
3.140743382,0.4189,0.0165,0.9157
3.144831959,0.3678,-0.0414,1.0458
3.154879536,0.3442,-0.1171,0.9487
3.164297574,0.3737,0.1142,0.9728
3.174925074,0.3229,-0.1717,0.9188
3.187265343,0.4323,-0.0216,0.9746
3.194424651,0.3419,0.0801,1.0434
3.204534074,0.4764,-0.0812,0.8932
3.21444819,0.4455,-0.1007,0.9117
3.224841805,0.3827,0.0375,1.0678
3.242902728,0.5058,0.0953,0.9106
3.245395343,0.5124,-0.1953,0.9398
3.254952151,0.526,-0.1201,0.8967
3.264313728,0.4606,0.3028,1.1522
3.274762151,0.4647,-0.218,0.8333
3.286212036,0.623,-0.0355,0.8047
3.294590151,0.527,-0.2213,0.9758
3.304450074,0.4311,0.2967,1.0283
3.314433613,0.5014,0.0365,1.0072
3.325411343,0.6601,-0.3222,0.604
3.342507766,0.5245,0.0064,0.7831
3.347044343,0.4995,-0.0627,1.026
3.354296689,0.5483,0.2332,1.0089
3.364303728,0.3952,-0.0442,0.9795
3.374645651,0.6492,-0.2095,0.6307
3.386797266,0.562,-0.0595,0.8284
3.394663766,0.4703,-0.1358,0.9306
3.404465189,0.5374,0.161,0.8137
3.414733036,0.4268,0.076,1.0727
3.426297343,0.5992,-0.1294,0.8445
3.442232728,0.586,-0.0643,0.7426
3.446335036,0.4537,-0.1223,0.8237
3.454404574,0.5966,-0.1385,0.601
3.464854459,0.4813,0.1002,1.0153
3.474712074,0.4363,-0.012,0.9423
3.484257536,0.5631,0.0551,0.7866
3.494720459,0.4815,0.0023,1.0237
3.508782497,0.5628,-0.1101,0.8434
3.514650997,0.564,-0.0943,0.6145
3.524924112,0.3954,-0.0291,0.9288
3.534231612,0.5381,-0.0745,0.9081
3.544216459,0.4727,-0.0026,0.8209
3.55444442,0.4118,0.0996,1.1336
3.56448042,0.5643,-0.0966,0.9458
3.574525574,0.5295,-0.038,0.8361
3.584333997,0.4553,0.0028,1.0327
3.594527074,0.6519,-0.267,0.7173
3.607992612,0.5657,-0.0053,0.8399
3.61490342,0.4167,-0.0329,0.9483
3.626612689,0.6914,-0.0597,0.8334
3.634796651,0.4974,0.1077,0.9914
3.644848189,0.5075,0.0445,1.0408
3.654626112,0.6897,-0.045,0.6775
3.666588805,0.4291,-0.0326,0.8363
3.674771651,0.6236,-0.1083,0.9382
3.685208728,0.6446,-0.0734,0.6591
3.695239535,0.3374,0.0859,0.973
3.709558843,0.6557,-0.055,1.1317
3.72500092,0.3016,0.1118,0.8825
3.726992112,0.3016,0.1118,0.8825
3.734432535,0.6538,-0.2949,0.9362
3.744760074,0.6628,-0.0633,0.9709
3.754574305,0.2712,0.0421,0.7547
3.76450492,0.693,-0.0563,1.0087
3.774530266,0.543,0.1047,1.1498
3.785557612,0.3391,-0.0017,0.8329
3.794612151,0.8416,-0.1058,0.7536
3.805202074,0.5151,-0.0502,0.9721
3.814528612,0.3815,-0.1659,0.6098
3.824868843,0.7104,0.0533,0.7305
3.838984458,0.4107,0.1416,1.1918
3.84456242,0.4396,-0.089,0.8223
3.854866035,0.7286,0.0792,0.8407
3.864312689,0.4272,-0.0674,0.8717
3.874545997,0.4795,-0.243,0.5914
3.887197535,0.706,0.1186,1.1241
3.894427689,0.4098,-0.0116,0.9416
3.904782381,0.4437,-0.0401,0.8137
3.915060689,0.7235,0.0755,1.1502
3.925297804,0.4737,-0.1737,0.5176
3.945983497,0.5549,-0.1121,0.5176
3.948946266,0.6578,0.1041,1.0832
3.95488392,0.5156,-0.085,0.8781
3.964867535,0.4253,0.1744,0.8781
3.974568227,0.6119,-0.1527,0.6721
3.986491266,0.4762,-0.0964,0.95
3.994340689,0.6126,-0.0327,0.8689
4.004517535,0.3823,0.0309,0.7051
4.02710042,0.493,0.1152,1.3231
4.030747881,0.6412,-0.0344,0.9944
4.046683074,0.3834,-0.0265,0.6342
4.049476574,0.5845,-0.1614,1.0413
4.054571689,0.6979,0.0553,0.9467
4.066713074,0.3362,0.1736,0.9414
4.07473915,0.5231,0.0253,0.9346
4.085571766,0.745,-0.0352,0.8529
4.094719112,0.4559,-0.1046,0.7088
4.104764189,0.5523,-0.0922,0.6762
4.126503766,0.547,0.2039,1.1394
4.129356189,0.3904,0.1605,0.9067
4.147471766,0.6268,-0.1015,0.753
4.153381343,0.5121,-0.066,1.0773
4.154705304,0.4141,-0.2253,0.5754
4.166647266,0.5148,0.3469,1.02
4.175054958,0.5337,0.0461,1.2751
4.186760189,0.5772,-0.0746,0.8473
4.194647497,0.4678,-0.0015,0.8506
4.205628189,0.5751,-0.2592,0.746
4.225714073,0.559,0.3428,1.3243
4.228820843,0.3634,0.1829,1.1201
4.237868766,0.6966,-0.0112,0.8009
4.244773573,0.5944,-0.1758,0.8644
4.254643381,0.4733,0.0923,0.763
4.266149804,0.6175,0.4173,1.0735
4.274816535,0.5601,-0.0588,0.9741
4.285112035,0.5756,-0.0504,0.5478
4.294740881,0.4536,-0.0931,0.7398
4.306038304,0.5041,0.5338,1.2108
4.32361642,0.3768,0.1537,1.1819
4.325814343,0.5288,-0.2198,0.4887
4.334514458,0.5426,0.2256,0.9803
4.344482727,0.4117,0.2516,0.9952
4.354429535,0.6078,0.2306,1.0322
4.365624612,0.6143,-0.3161,0.4969
4.374515535,0.4911,0.4134,0.9436
4.38437015,0.4981,0.1269,0.9651
4.394525343,0.7429,0.0453,0.7096
4.404932958,0.4572,0.0192,0.7388
4.424509035,0.6152,0.2516,1.2541
4.426711496,0.7522,0.0016,0.7664
4.434470573,0.1748,-0.006,0.8298
4.444502919,0.574,0.1637,1.2482
4.45511415,0.622,0.0713,0.8913
4.468359112,0.4257,-0.0595,0.9019
4.474788035,0.787,0.2343,1.0765
4.485235227,0.5308,-0.0689,0.4937
4.494655189,0.3964,0.257,0.7887
4.504747919,0.9099,-0.0706,0.8769
4.522264073,0.4466,0.1507,0.5546
4.524970881,0.1327,0.0384,0.8935
4.542348535,0.6701,-0.0972,0.9819
4.544825419,0.1653,0.3425,0.834
4.554724881,0.1836,-0.2707,0.9289
4.565667189,0.7299,0.3033,1.0461
4.57456115,-0.0172,-0.028,0.7796
4.584399035,0.323,-0.0103,0.9513
4.594920419,0.5692,0.1849,1.114
4.606776342,0.1159,-0.0022,1.1094
4.623773727,0.4929,0.0461,0.7071
4.625743419,0.4876,0.1776,1.3099
4.634397381,0.343,-0.0536,0.9834
4.644822265,0.6414,0.1599,0.7867
4.654479112,0.5579,0.1253,1.1522
4.667257458,0.5185,0.0822,1.0078
4.674625458,0.5712,0.0457,0.7033
4.684540342,0.4964,0.3119,1.2332
4.694622881,0.3607,-0.1384,0.9096
4.705361919,0.3729,0.1164,1.061
4.719176265,0.251,0.2227,1.1259
4.725124996,0.2926,-0.0592,0.9547
4.734689612,0.4189,0.0215,1.0608
4.74435565,0.3006,0.3323,1.1242
4.754388496,0.3696,-0.0636,0.8645
4.764494342,0.5377,-0.0012,1.0165
4.774550265,0.381,0.1663,1.081
4.784559227,0.3597,0.285,1.1075
4.79489815,0.5006,-0.2679,0.8108
4.807373188,0.2894,0.2698,1.0436
4.826438381,0.2894,0.2698,1.0436
4.828140496,0.5383,-0.1092,0.7949
4.83566515,0.3197,0.3591,1.0428
4.844381342,0.4534,0.2905,1.2147
4.854550919,0.5328,-0.1728,0.6116
4.864521496,0.4235,0.0474,0.7565
4.874394073,0.4504,0.2982,1.0397
4.88433565,0.4531,0.3364,1.1606
4.894603073,0.4274,-0.3462,0.5666
4.906980804,0.465,0.2279,1.0778
4.924999035,0.2102,0.1101,1.2674
4.927077034,0.401,0.3462,1.0854
4.934364958,0.4945,0.0639,0.8523
4.944370611,0.6317,-0.1474,0.5458
4.954383996,0.4738,0.2441,1.0035
4.966746111,0.4328,0.3724,1.2167
4.974483804,0.574,0.1412,1.0748
4.984844073,0.4577,0.0809,1.1373
4.994713996,0.4332,-0.2215,0.6462
5.008558342,0.4737,0.3028,0.9813
5.028575111,0.3354,0.1649,1.2444
5.031024919,0.4931,0.199,0.9075
5.034448842,0.454,0.2557,0.8875
5.044316957,0.4725,-0.3902,0.4817
5.054592111,0.4995,0.3141,1.0107
5.064681073,0.1875,0.1975,1.2365
5.074789765,0.4711,0.0603,1.0522
5.084549765,0.3445,0.2437,1.08
5.094526573,0.2548,0.0529,1.1165
5.105863534,0.5178,0.0574,0.7791
5.12347865,0.2811,0.0922,1.2515
5.126169765,0.3695,-0.0235,0.8912
5.134588496,0.3729,0.205,0.7804
5.144478842,0.3742,0.2763,1.3505
5.154783957,0.5488,0.1333,1.1634
5.164924804,0.5265,0.2274,1.0986
5.174598688,0.3349,0.2162,1.016
5.185200842,0.4358,0.036,0.6916
5.194914073,0.5223,0.1752,1.1248
5.205234534,0.4959,0.1537,1.3207
5.21907465,0.2388,0.1182,1.0341
5.224569842,0.077,-0.0075,0.7405
5.234863188,0.436,0.372,1.2922
5.244661111,0.2041,0.0612,1.2094
5.254438419,0.258,0.0977,1.0428
5.264220688,0.3182,0.277,1.2193
5.274558073,0.1893,0.0673,1.2972
5.284813573,0.5055,0.0463,1.0809
5.303991496,0.318,0.1577,1.1973
5.306636303,0.2384,0.1,1.0744
5.32631465,0.3722,0.1085,0.9877
5.32797138,0.383,0.2442,1.1439
5.335553803,0.5176,0.2695,1.1277
5.344547957,0.4824,0.1408,1.0198
5.35469888,0.3883,0.1588,0.7172
5.364850726,0.4887,0.2935,1.0748
5.374611034,0.524,0.2296,1.2393
5.384701073,0.5282,0.1921,0.8775
5.394965303,0.3952,0.1253,0.7639
5.406542457,0.4306,0.2839,1.109
5.433317342,0.3711,0.2565,1.0875
