time_s	gforce_x	gforce_y	gforce_z
121.5516228	0.0469	-0.0018	0.9784
121.5583013	-0.1466	0.1057	0.697
121.5594289	-0.4906	0.0197	1.213
121.5642129	-0.2815	-0.0527	1.1387
121.5672319	-0.0704	-0.0057	0.8025
121.6019413	0.1759	-0.1758	1.0117
121.6028926	0.2521	-0.0175	0.9804
121.6035077	0.2638	0.0939	1.0977
121.6041032	0.2169	0.1115	1.0977
121.6044852	0.0156	0.1643	1.0234
121.6048525	-0.2541	-0.0253	1.1094
121.6052184	-0.1759	-0.1289	1.768
121.6057694	0.0391	0.1526	0.8416
121.6062347	0.1094	0.1487	0.6735
121.6074829	0.1993	0.0079	0.695
121.6122469	0.0703	0.0197	0.783
121.616551	0.1114	-0.0331	1.0742
121.6201906	0.1387	-0.0448	1.0449
121.6237532	0.0547	0.006	1.3811
121.6282318	0.1935	0.0099	0.9276
121.6316111	0.2013	-0.1152	0.8729
121.6400358	0.0097	-0.1504	1.1543
121.6408806	-0.1075	-0.0097	0.6227
121.6443838	-0.1662	-0.0683	0.8807
121.6484154	-0.0802	-0.0487	1.0527
121.6516045	0.0234	0.0705	1.0566
121.655771	0.0996	0.0588	1.1661
121.660393	0.1426	0.0451	1.1387
121.664294	0.1602	0.092	0.8319
121.6685261	0.0645	-0.0038	1.0781
121.6767904	0.0469	0.1662	1.1074
121.6777756	0.1563	0.2014	1.0957
121.6798889	0.1895	-0.0233	1.2364
121.6839023	0.0664	-0.1191	0.912
121.7285829	-0.0411	-0.0351	0.867
121.7293748	-0.088	0.0588	1.1113
121.7298931	-0.1036	0.1565	0.8651
121.7304654	-0.1232	0.0978	0.8846
121.7311006	-0.0118	0.0099	1.0078
121.7317105	0.129	0.0627	1.039
121.7321819	0.2228	0.176	0.8866
121.7325909	0.2814	0.1018	0.7869
121.7330189	0.0449	0.0568	1.1582
121.7334135	-0.0489	0.0842	0.9472
121.7338606	-0.1349	0.0216	0.9198
121.7342481	-0.0254	-0.1035	1.3029
121.7396893	0.0742	0.0978	0.7439
121.7405951	0.1309	0.047	0.7439
121.7443282	0.0332	0.0529	0.7029
121.7489071	-0.0489	0.0373	0.781
121.7521896	-0.0274	-0.1601	1.0918
121.7574837	-0.0254	-0.1113	1.0566
121.7602324	0.1895	0.049	0.8807
121.765101	0.2892	0.047	1.0312
121.7687478	0.3869	-0.0409	0.9179
121.7771974	0.3146	0.1428	0.74
121.7780305	0.1368	0.1174	0.6403
121.7802318	-0.2228	0.1233	1.082
121.7848771	-0.5101	0.133	1.1543
121.8270685	-0.518	0.0998	1.2032
121.8280191	-0.215	0.0666	1.1837
121.828642	0.1035	0.0021	0.8631
121.829141	0.3224	-0.0272	0.5934
121.8295449	0.3361	0.0705	0.9139
121.8309217	0.3654	0.1252	1.4319
121.8315288	0.2267	0.2151	1.0117
121.8320393	-0.0684	0.1428	0.8123
121.8324304	0.0469	0.178	1.4084
121.8328013	0.043	0.1877	1.5081
121.8331636	0.0996	0.2327	0.5406
121.8335275	0.168	0.2112	0.4488
121.8388468	0.127	0.0861	0.4468
121.8403676	-0.1251	0.1291	1.1817
121.8449607	-0.0782	0.3636	1.1074
121.8489072	-0.1193	0.2092	0.869
121.8520996	-0.2268	-0.1269	1.4749
121.856675	-0.1505	-0.1113	0.998
121.8611793	-0.0802	-0.1328	0.7517
121.8650717	0.0136	-0.0214	1.2618
121.8688479	0.0606	0.2522	0.8377
121.8779043	0.2931	0.307	0.7263
121.8787974	0.3928	0.2835	1.1856
121.8801684	0.3576	0.1799	1.1426
121.8843953	0.3127	0.0431	0.9843
121.9291145	0.2286	-0.0175	0.9511
121.9298803	-0.2619	0.1213	1.0117
121.9305049	-0.3851	0.1662	1.0586
121.931082	-0.3225	0.2522	1.0781
121.9316199	-0.2404	0.3421	1.0332
121.9321448	-0.1036	0.3285	0.9941
121.9326628	0.2697	-0.037	0.9726
121.9330674	0.1798	-0.0585	1.0742
121.9334745	0.1661	0.135	1.5042
121.9339095	0.2208	0.2562	1.2052
121.9342367	0.256	0.2268	0.8631
121.9345744	0.1094	-0.0175	1.2149
121.9405573	0.0938	-0.3224	1.3967
121.9412633	0.1876	0.0451	0.6403
121.9449274	0.127	0.1487	0.6305
121.9482987	-0.0313	0.047	0.9589
121.952461	-0.0997	0.1311	0.695
121.9576704	-0.2776	0.0021	0.7498
121.9606098	-0.2209	-0.0272	1.2872
