time;gFx;gFy;gFz;wx;wy;wz
1.561;-0.06;0.03;1.0;0.01;-0.02;-0.13
1.577;-0.06;0.03;1.0;0.01;-0.02;-0.13
1.579;-0.06;0.03;1.0;0.02;-0.02;-0.13
1.581;-0.06;0.03;1.0;0.02;-0.02;-0.13
1.582;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.594;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.597;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.598;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.606;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.608;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.611;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.618;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.62;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.626;-0.06;0.03;1.0;0.02;-0.01;-0.14
1.63;-0.06;0.03;1.0;0.01;-0.01;-0.14
1.636;-0.06;0.03;1.0;0.01;-0.01;-0.14
1.641;-0.06;0.03;1.0;0.01;-0.01;-0.14
1.646;-0.06;0.03;1.0;0.01;-0.01;-0.14
1.66;-0.06;0.03;1.0;0.02;-0.01;-0.15
1.662;-0.06;0.03;1.0;0.02;-0.01;-0.15
1.663;-0.06;0.03;1.0;0.02;-0.01;-0.15
1.677;-0.06;0.03;1.0;0.02;-0.01;-0.15
1.679;-0.06;0.03;1.0;0.02;0.0;-0.15
1.68;-0.06;0.03;1.0;0.02;0.0;-0.15
1.682;-0.06;0.03;1.0;0.02;0.0;-0.15
1.691;-0.06;0.03;1.0;0.02;0.0;-0.15
1.693;-0.06;0.03;1.0;0.02;-0.01;-0.15
1.696;-0.06;0.03;1.0;0.02;-0.01;-0.15
1.702;-0.06;0.03;1.0;0.02;-0.01;-0.16
1.707;-0.06;0.04;1.0;0.02;-0.01;-0.16
1.711;-0.06;0.04;1.0;0.02;-0.01;-0.16
1.718;-0.06;0.04;0.99;0.02;-0.01;-0.16
1.721;-0.06;0.04;0.99;0.02;-0.01;-0.17
1.726;-0.06;0.04;0.99;0.02;-0.01;-0.17
1.73;-0.06;0.04;0.99;0.02;-0.01;-0.17
1.736;-0.06;0.04;0.99;0.02;-0.01;-0.17
1.74;-0.06;0.04;0.99;0.02;-0.01;-0.17
1.746;-0.06;0.04;0.99;0.02;-0.01;-0.17
1.763;-0.06;0.04;0.99;0.02;-0.01;-0.18
1.764;-0.06;0.04;1.0;0.02;-0.01;-0.18
1.77;-0.06;0.04;1.0;0.02;-0.02;-0.18
1.771;-0.06;0.04;1.0;0.02;-0.02;-0.18
1.772;-0.06;0.04;1.0;0.02;-0.02;-0.18
1.785;-0.06;0.04;1.0;0.02;-0.02;-0.18
1.787;-0.06;0.04;1.0;0.02;-0.02;-0.19
1.789;-0.06;0.04;1.0;0.02;-0.02;-0.19
1.79;-0.06;0.04;1.0;0.02;-0.02;-0.19
1.796;-0.06;0.04;1.0;0.02;-0.02;-0.19
1.802;-0.06;0.04;1.0;0.02;-0.02;-0.19
1.807;-0.06;0.04;1.0;0.02;-0.02;-0.19
1.81;-0.06;0.04;1.0;0.02;-0.02;-0.2
1.82;-0.06;0.04;1.0;0.02;-0.02;-0.2
1.822;-0.06;0.04;1.0;0.02;-0.02;-0.2
1.826;-0.06;0.04;1.0;0.02;-0.02;-0.2
1.83;-0.06;0.04;1.0;0.02;-0.02;-0.21
1.837;-0.07;0.04;1.0;0.02;-0.02;-0.21
1.84;-0.07;0.04;1.0;0.03;-0.01;-0.21
1.847;-0.07;0.04;1.0;0.03;-0.01;-0.21
1.864;-0.07;0.04;1.0;0.03;-0.01;-0.21
1.866;-0.06;0.04;1.0;0.03;-0.01;-0.21
1.868;-0.06;0.04;1.0;0.03;-0.01;-0.22
1.869;-0.06;0.04;1.0;0.03;-0.01;-0.22
1.871;-0.06;0.04;1.0;0.03;-0.01;-0.22
1.876;-0.06;0.04;1.0;0.03;-0.01;-0.22
1.881;-0.06;0.04;1.0;0.03;-0.01;-0.23
1.887;-0.06;0.04;1.0;0.03;-0.01;-0.23
1.891;-0.06;0.04;1.0;0.03;-0.01;-0.23
1.896;-0.06;0.05;1.0;0.03;-0.01;-0.23
1.901;-0.06;0.05;1.0;0.02;-0.01;-0.24
1.907;-0.06;0.05;1.0;0.02;-0.01;-0.24
1.911;-0.06;0.05;1.0;0.02;-0.02;-0.25
1.921;-0.06;0.05;1.01;0.02;-0.02;-0.25
1.923;-0.06;0.05;1.01;0.01;-0.02;-0.26
1.926;-0.06;0.04;1.01;0.01;-0.02;-0.26
1.931;-0.06;0.04;1.01;0.0;-0.02;-0.26
1.937;-0.06;0.04;1.0;0.0;-0.02;-0.26
1.941;-0.06;0.04;1.0;0.0;-0.02;-0.26
1.947;-0.06;0.04;0.99;0.0;-0.02;-0.26
1.951;-0.06;0.04;0.99;-0.01;-0.02;-0.26
1.956;-0.06;0.03;0.99;-0.01;-0.02;-0.26
1.961;-0.06;0.03;0.99;-0.01;-0.03;-0.26
1.98;-0.06;0.03;0.98;-0.01;-0.03;-0.26
1.982;-0.06;0.03;0.98;-0.02;-0.04;-0.26
1.983;-0.05;0.03;0.98;-0.02;-0.04;-0.26
1.984;-0.05;0.03;0.98;-0.03;-0.05;-0.26
1.987;-0.06;0.02;0.99;-0.03;-0.05;-0.26
1.991;-0.06;0.02;0.99;-0.04;-0.06;-0.27
1.998;-0.06;0.02;1.0;-0.04;-0.06;-0.27
2.002;-0.06;0.02;1.0;-0.04;-0.07;-0.27
2.007;-0.07;0.01;1.01;-0.04;-0.07;-0.27
2.011;-0.07;0.01;1.01;-0.04;-0.06;-0.26
2.018;-0.08;0.0;1.02;-0.04;-0.06;-0.26
2.021;-0.08;0.0;1.02;-0.05;-0.04;-0.25
2.027;-0.08;-0.01;1.01;-0.05;-0.04;-0.25
2.03;-0.08;-0.01;1.01;-0.05;-0.02;-0.24
2.037;-0.08;-0.01;1.0;-0.05;-0.02;-0.24
2.041;-0.08;-0.01;1.0;-0.05;-0.01;-0.24
2.046;-0.07;-0.02;0.99;-0.05;-0.01;-0.24
2.061;-0.07;-0.02;0.99;-0.05;-0.02;-0.23
2.063;-0.07;-0.02;0.98;-0.05;-0.02;-0.23
2.064;-0.07;-0.02;0.98;-0.05;-0.04;-0.24
2.078;-0.08;-0.03;0.97;-0.05;-0.04;-0.24
2.08;-0.08;-0.03;0.97;-0.06;-0.06;-0.24
2.081;-0.08;-0.03;0.97;-0.06;-0.07;-0.24
2.088;-0.09;-0.06;0.96;-0.06;-0.07;-0.24
2.092;-0.09;-0.06;0.96;-0.05;-0.08;-0.22
2.099;-0.09;-0.07;0.96;-0.05;-0.08;-0.22
2.101;-0.09;-0.07;0.96;-0.05;-0.08;-0.2
2.107;-0.08;-0.08;0.96;-0.05;-0.08;-0.2
2.111;-0.08;-0.08;0.96;-0.03;-0.08;-0.18
2.116;-0.07;-0.09;0.95;-0.03;-0.08;-0.18
2.12;-0.07;-0.09;0.95;-0.02;-0.09;-0.16
2.127;-0.07;-0.09;0.94;-0.02;-0.09;-0.16
2.135;-0.07;-0.09;0.94;-0.03;-0.11;-0.13
2.137;-0.07;-0.08;0.94;-0.03;-0.11;-0.13
2.141;-0.07;-0.08;0.94;-0.05;-0.15;-0.11
2.149;-0.07;-0.07;0.99;-0.05;-0.15;-0.11
2.151;-0.07;-0.07;0.99;-0.07;-0.19;-0.09
2.156;-0.08;-0.1;1.02;-0.07;-0.19;-0.09
2.161;-0.08;-0.1;1.02;-0.06;-0.19;-0.08
2.177;-0.08;-0.12;1.02;-0.06;-0.19;-0.08
2.179;-0.08;-0.12;1.02;-0.03;-0.16;-0.06
2.18;-0.06;-0.1;1.0;-0.03;-0.16;-0.06
2.181;-0.06;-0.1;1.0;-0.01;-0.14;-0.05
2.193;-0.06;-0.1;0.99;-0.01;-0.14;-0.05
2.194;-0.06;-0.1;0.99;0.01;-0.14;-0.05
2.197;-0.06;-0.1;1.0;0.01;-0.14;-0.05
2.203;-0.06;-0.1;1.0;0.02;-0.14;-0.06
2.206;-0.07;-0.09;1.03;0.02;-0.14;-0.06
2.211;-0.07;-0.09;1.03;0.01;-0.13;-0.08
2.217;-0.07;-0.05;1.05;0.01;-0.13;-0.08
2.221;-0.07;-0.05;1.05;0.02;-0.1;-0.08
2.227;-0.07;0.0;1.04;0.02;-0.1;-0.08
2.231;-0.07;0.0;1.04;0.06;-0.07;-0.06
2.236;-0.06;0.05;1.0;0.06;-0.07;-0.06
2.241;-0.06;0.05;1.0;0.1;-0.08;-0.05
